name, description, link
prmd, JSON Schema tools and doc generation for HTTP APIs, https://github.com/interagent/prmd
heroics, Ruby HTTP client for APIs represented with JSON schema, https://github.com/interagent/heroics
bugspot, Implementation of simple bug prediction hotspot heuristic,https://github.com/igrigorik/bugspots
httpie, HTTPie is a command line HTTP client. a user-friendly cURL replacement, https://github.com/jakubroztocil/httpie
brakeman, A static analysis security vulnerability scanner for Ruby on Rails applications, https://github.com/presidentbeef/brakeman
tugboat, A command line tool for interacting with your DigitalOcean droplets.,https://github.com/pearkes/tugboat
wetty, Terminal in browser over http/https ,https://github.com/krishnasrinivas/wetty
pre-commit, A slightly improved pre-commit hook for git, https://github.com/jish/pre-commit
heroku-accounts, Multiple account management for Heroku, https://github.com/ddollar/heroku-accounts
dshell, Dshell is a network forensic analysis framework, https://github.com/USArmyResearchLab/Dshell
selecta, A fuzzy text selector for files and anything else you need to select, https://github.com/garybernhardt/selecta
stackprof, a sampling call-stack profiler for ruby 2.1, https://github.com/tmm1/stackprof
rbtrace, like strace but for ruby code, https://github.com/tmm1/rbtrace
parallel,shell tool for executing jobs in parallel using one or more computers,  http://www.gnu.org/software/parallel/
stenographer, Stenographer is a packet capture solutio, https://github.com/google/stenographer
timetrap, Simple command line timetracker, https://github.com/samg/timetrap
myvim, Script to create a portable bundle of Vim environment, https://github.com/junegunn/myvim
lunchy, A friendly wrapper for launchctl, https://github.com/eddiezane/lunchy
dotjs, ~/.js, https://github.com/defunkt/dotjs
vegeta, HTTP load testing tool and library, https://github.com/tsenart/vegeta
consul, Consul is a tool for service discovery and monitoring and configuration ,https://github.com/hashicorp/consul
kubernetes, Container Cluster Manager, https://github.com/GoogleCloudPlatform/kubernetes
radare2, unix-like reverse engineering framework and commandline tools, https://github.com/radare/radare2
termsql, Convert text from a file or from stdin into SQL table and query it instantly, https://github.com/tobimensch/termsql
wemux, Multi-User Tmux Made Easy, https://github.com/zolrath/wemux
hutils, A collection of command line utilities for working with logfmt, https://github.com/brandur/hutils
the_silver_searcher, A code-searching tool similar to ack but faster, https://github.com/ggreer/the_silver_searcher
jq, Command-line JSON processor, https://github.com/stedolan/jq
gdb-macros-for-ruby, GDB macros for Ruby processes inspection, https://github.com/michaelklishin/gdb-macros-for-ruby
sysdig, Linux system exploration and troubleshooting tool with first class support for containers, https://github.com/draios/sysdig
osquery, SQL powered operating system instrumentation monitoring and analytics., https://github.com/facebook/osquery
toxiproxy, A proxy to simulate network and system conditions , https://github.com/Shopify/toxiproxy
Comcast, Simulating shitty network connections so you can build better systems.,https://github.com/tylertreat/Comcast
